questionType,question
yes/no,Can u hot curl the hair with this product
yes/no,Does this product make one's hair less shiny?
yes/no,Can you bathe in the sweet orange?
yes/no,can you ship to uk?
yes/no,is there corn syrup in this product?
yes/no,hey :) can i wash that hair and color it and flat iron it ??? plz replay thnx
yes/no,Do you have this crimping iron in size 4 inches?
yes/no,How are the sets packaged These are for charity and don't want loose bottles? Can I mix sets to total 100/g
yes/no,Does it contain retinyl palmitate?
open-ended,what the size of this 5 brushes?
open-ended,blue film?
open-ended,does your product have a current production date or is it pulled off the shelf and sold at discount by your company?
open-ended,"I recently purchased this serum from a skincare spa and have very mixed thoughts about it. My skin doesn't like it as much as other products that I typically used, but it's only been about a week so I'm willing to give it a bit more time. My key..."
open-ended,"For replacemnt rollers, there are 2 choices. Ex.Caruso jumbo rollers w/ shields @$12.49 or Caruso jumbo xtra rollers @ $14.50. What is the difference?"
open-ended,nevermind
open-ended,Is this plates has the cover or paper on back for protect ur fingers?
open-ended,"What does the ""Colors May Vary"" exactly mean? I'd like to know what color I am ordering and/or what colors might this come in (i.e., I wouldn't want a pink blowdryer)."
open-ended,what size are the rollers?
open-ended,"Hi , I want to ask you is this product made in china or britsh ? Thank U"
open-ended,I tried to flat iron the hair and it looks like some hair was melting in the flay iron is that normal?
open-ended,"What is the full ingredients list as shown on back of tube -- and is there or is there not added ""Fragrance"" ?"
open-ended,How do you use the mask?
open-ended,"My wife likes this product, but one of her friends asked if one of the ingredients was ""prostagladins""? Please advise. Thank you."
open-ended,How big is this bag?
open-ended,What are the expiration dates on the 2 bottles? Thanks!
open-ended,Is the the new formula or the old formula?
open-ended,What is the length of the nozzle from the front across the top to the vent in the back? I am looking for shorter than I have now. Thanks!
open-ended,"This doesn't have motorized spinning, does it? You have you spin it manually, right?"
open-ended,How long does it last? Lasted three weeks on me with daily washing.
open-ended,What is a good flat iron for African American hair? I don't know if the bulb is going bad or if the flat iron itself is starting to go bad?
open-ended,waterproof?
open-ended,"Is this device just for the face or is it designed to be used on other parts of the body, too?"
open-ended,"I used your auburn color and it is a bit too red for me, would this help cover it? Is it okay to double dip like that?"
open-ended,BEST LASH GROWING OR TINT
open-ended,how do i remove it?
open-ended,How long does it take to dry your hair?
open-ended,How pigmented are the colors? Was there a noticeable difference or deeper/truer colors if primer was used?
open-ended,How long does it extend out to?
open-ended,Cost of refill only - not container what is cost?
open-ended,"I got my ears pierced ever since i was little, just normal on the ear lobe, but can i use it around my ear also?"
open-ended,% of minoxidil in this product?
open-ended,how long takes in getting hot ?
open-ended,Can i use toppek fattener with minoxidil 15%? Can i use toppek fattener with minoxidil 15%?
open-ended,how many pounds does it hold???
open-ended,What's the texture of the product? Is it thick or runny.
open-ended,The voltage babyliss is universal? Works in Venezuela? For a 110-120 voltage
open-ended,how do i use this product?
open-ended,What are the dimensions of this product?
open-ended,how large is this lamp? Is it small enough for travel?
open-ended,Anyone know where I can find a replacement screen for the Twinturbo 3500 model 328? My little round screen fell off &amp; I can't find it anywhere.
open-ended,Do you use it as a single product or with other facial products ?
open-ended,"Your listing indicates two 3.4 oz. bottles(Mulipack), howerver, the Total indicates.4 oz. . Shouldn't the total actually be 6.8 oz.?"
open-ended,where do you get replacement blades? are they just standard double sided blades? can you still buy those??
open-ended,what is the difference in nairobi foam wrap other than the two different colors?
open-ended,what are the bristles made of?
open-ended,"Does this hair react to hair dye as real hair would? As in, can I dye it to match my hair (I have dyed other hair extensions)?"
open-ended,"Would someone please tell me if the first shadow color is lavender, the second blue, the third gray, and the fourth black? I adore the lavender."
open-ended,Where is this product from/where was it made?
open-ended,How long does it take to to work?
yes/no,Does this product work with the second generation ipad?
yes/no,I want a phone that is not tied into any contract and I can simply buy minutes with pay as u go cards. Is the right one?
yes/no,does your car need to be on for this to work?
yes/no,are you able to block the internet?
yes/no,Does this case fit the LG Volt for Boost mobile? It always comes up when I search cases for the Volt.
yes/no,will the galaxy note 3 fit?
yes/no,Has anyone used this with a Samsung S4 phone?
yes/no,Would this work on an ipad 2?
yes/no,is it for iphone 5
yes/no,can you sync while using the pad?
yes/no,Is it full screen fit
yes/no,is there any warrenty from company?
yes/no,can this work in jamaica with a samsung galaxy grand duos phone
yes/no,will this work for an ASUS Tf300 5158n FPC-1 06ww 1225?
yes/no,can you charge laptop
yes/no,Will this charger work on a Motorola Droid Maxx?
yes/no,is this a white cover
yes/no,Does this cover fit the phone without removing it every time
yes/no,Has anyone tried this on an Xbox One controller?
yes/no,Can this phone be used with any service? We have verizon
yes/no,does it work for iphone 5s?
yes/no,Will this case work for the iphone 5c?
yes/no,can you daisy chain multiple Speak 510 to cover a large conference room?
yes/no,Will this work on BLU phones?
yes/no,Will this car mount work on an iPod touch 5 with an OtterBox Defender case?
yes/no,do it works for t-mobile prepay sim cards
yes/no,"If I pair it with 2 cell phones and then connect it to a 2-line phone system, can each cell phone be assigned to a separate line?"
yes/no,"If I'm using in the USA with t-mobile, do I need to have a data plan?"
yes/no,Will mini sized servo's work with this device?
yes/no,Is the phone 4G
yes/no,Can I charge rechargeable energizer battery on this charger? Thanks!
yes/no,Will this device work with a Samsung Chromebook?
yes/no,will you have more of this products in the future?
yes/no,Are they comfortable to wear with glasses?
yes/no,Is there FM radio?
yes/no,Will putting this on the screen affect the warranty?
yes/no,Do you get all the 300pc?
yes/no,is this already pre - assembeled ?
yes/no,"Does the ""one size"" option fit the iphone 5s?"
yes/no,will this fit the new Samsung Galaxy Mega 6.3 inch screen sz ????
yes/no,My phone says DROID 2. Will this case fit it?
yes/no,can you use device while plugged in
yes/no,does it come with free minutes for activation?
yes/no,can this phone be used on prepaid
yes/no,Does this case work for the SPH-L710?
yes/no,do they make cases for lg306g tracfones?
yes/no,"Can a product with dimensions ""2.8 x 1 x 6.5 inches ; 3.2 ounces"" be nicely utilized with this case?"
yes/no,Can I use this headset on a PlayStation 4?
yes/no,will this work for a samsung gallaxy note?
yes/no,Does this allow your phone to float on the water?
open-ended,How many phone charges can you get out of one Power Bank full charge?
open-ended,how long is the warranty on this phone
open-ended,Is it a reusable pouch ?If so how many uses and depth?
open-ended,"Does or can this phone float? If not, is there a floating case you know of?"
open-ended,Spanich languague?
open-ended,"When buying this, can I get regular prepaid att cards for unlimited talk/text or something"
open-ended,How many screen protectors does it come with?
open-ended,Does this come with a home charger and a car charger or do I buy those separately??
open-ended,is this considered a prepaid sim card? My iphone said it's gms is unlock but not for pre paid what does that mean?
open-ended,my daughter broke her phone inside the case therefore cant be removed so will this fit her phone with the case?
open-ended,What size sim card does this take?
open-ended,iphone 4s original screen ?
open-ended,"Is the back cover as slippery as the original, or does it provide better grip?"
open-ended,How long does it take to charge an Apple iphone?
open-ended,is it the fake otter box or real just making sure :P
open-ended,Does this case wrap around to the front to protect the phone in the front with a raised lip? Or is it just a snap on case?
open-ended,how do you get the kickstand out
open-ended,Can you tell me if it works with audio streaming coming from my phone?
open-ended,Hello ... the speaker can be close to travel? (Se puede reducir para transportar)
open-ended,what's the actual weight for this item? Thanks.
open-ended,"Will this case will fit an iPhone 5s in an Otterbox Armor case, which measures 5.5 inches long? If it does, how well does the flap close?"
open-ended,"When using as a speaker phone, how clear is it for the people on the other end of the line?"
open-ended,it has mp3 player ?
open-ended,What is the lenght of the cord?
open-ended,is the chord flat or round?
open-ended,I see no speaker hole on the outer case. I listen to music on my phone very often. How does it affect the sound?
open-ended,"If you cancel all the ""extras"" is it TRULY 400mb free, or is there a minimum monthly fee for the free data? I'm looking at this for emergencies only."
open-ended,"Works with any GSM sim card including international GSM carriers Works with T-Mobile, Simple Mobile, Net10, AT&amp;T, Red Pocket Mobile,?"
open-ended,i have the galalxy 3 can i still just go into the store and they can switch everything over
open-ended,I recently purchased this item but the head of the unit is too large and will not fit down into the cigarette lighter socket. I own a mini cooper
open-ended,Will this hold 1 driver license and 1 credit card or are the slots to small? Some cases you can't slide the card in without it sticking over the case.
open-ended,What is the warrenty as far as the phone breaking while in the case?
open-ended,"is this case slick n smooth or does it have some ""texture""? im courius if itll slip out of my hands if i have oil or water on them..."
open-ended,hello i just bought one of this case today i just want to know if this case offer protection from dropping the phone without damage to the phone
open-ended,"How does this compare to the Arkon phone mount, which this is a knockoff of?"
open-ended,Have you tried taking pictures with flash? Wouldn't it shut off/freeze/go black?
open-ended,"If this a full-duplex or half-duplex phone? I.e., can both parties talk and hear at same time?"
open-ended,Does anyone know if the Kyocera Jax prepaid phone can be used on ANY virgin mobile plan of choice?
open-ended,On my initial charge thr light went from yellow to green but the green light stays on blinking is this correct?
open-ended,How is the unit recharged? I did not see a charger picture. Thanks
open-ended,Does this have noise cancelling capabilities? speak directions? and texts?
open-ended,How long is battery life
open-ended,any problems with the battery? mine is splitting appart or swelling so the rubber back cover wont hold it in place.
open-ended,I received my charger and it says it will work on the Galaxy S4 and I plugged it in and it doesn't work. Why not?
open-ended,"What can I get to use my 320g hands free, above on the visor ?? Thank you."
open-ended,Does it announce who's calling? Can you answer or ignore calls using voice commands?
open-ended,"Does the unit come with a power adapter, or any DC input jack?"
open-ended,How much does it take for the order to get to the US?
open-ended,"Will this phone operate &amp; work well on Straight Talk's network?, I believe only supports GSM, ph details says GSM is only 2G network, which providers?"
open-ended,How long does the battery hold?
yes/no,"Is this good for Spring season soccer, cold weather wear?"
yes/no,does the rose gold come engraved with Cartier inside it too ??
yes/no,Does this watch do 24 hour time?
yes/no,Is this pants water proof?
yes/no,I am 5 ft. 2 in. Will pants be way too long?
yes/no,Does HP EliteBook Folio 9470m fits in? Size 13.3 x 9.1 x 0.7 inches
yes/no,"I'm a size 31-32(ish) and if I go for a 30, will they still fit nicely? I wouldn't want them loose if I got a 32."
yes/no,"Can someone give me a circumference measurement, (where the head goes), please."
yes/no,Are these thick enough to wear alone as sports shorts?
yes/no,I'm in good shape but recent surgery left me with the need for high abdominal support when I work out. Is the compression firm?
yes/no,"is this product ""Under Armour Men's UA Tech&acirc;&#132;&cent; Long Sleeve T-Shirt "" the same as the coldgear?"
yes/no,"My husband is a 31/31 in jeans, he is usually a medium in anything s/m/l sizes, should I go with a large?? (Small waist, long legs)"
yes/no,can you purchase a replacement battery?
yes/no,Does the sizing run true?
yes/no,Is this the kind of bootie you'd get to go over other shoes to keep them dry?
yes/no,do they have any pockets?
yes/no,Is the belt included with the pants?
yes/no,Does the waste have elastic like 511's?
yes/no,Can you adjust the width independently from the length.
yes/no,Is the long strap also included in the purchase?
yes/no,Is the T4MO hat packable
yes/no,Does this style of Avia run small. I am concerned whether to mget in B or C/D width? av
yes/no,"I'm 6'1"" 205 pounds, I ordered XL. Is that the right size for me?"
yes/no,"Can you give inch measurements for Small, Med, Lar, XL??"
yes/no,Do they have a cell phone pocket anywhere?
yes/no,"Does this coat breath? I mean, I am more looking for an autumn jacket than I am something to keep me totaly dry."
yes/no,Would these be appropriate for my son to wear under football pants to play high school football.
yes/no,are they waterproof?
yes/no,Looking for a super warm coat for my daughter at college - Purdue. Lots of walking and windy. Does this block the wind
yes/no,Will a standard belt work with these?
yes/no,is this jacket packable?
yes/no,"Would they fit someone 5' and 95 lb.? My child is nearing the end of fitting into ""children's"" clothes."
yes/no,Do any of the drawers have compartments?
yes/no,Does it provide with hooks for the option to hang on the back of a door?
yes/no,"will the small, youths"
yes/no,can this be used on cotton clothing?
yes/no,Does the bottom seam (around the thigh) dig into your thigh at all?
yes/no,Is there an elastic waist band with these shorts?
yes/no,Are they true to size for women. If I wear a size 8 should I order an or a 9?
yes/no,does a belt come with these pants?
yes/no,Will a standard belt work with these?
yes/no,Would the xs be a good size for a 11 lb baby
yes/no,can you wear these for tennis?
yes/no,Is that Medium to Large vest with adjustable straps? I'm looking for a size large vest.
yes/no,Has anyone tested them out to see if they actually work?
yes/no,does it come with any kind of warranty?
yes/no,Will this fit through the holes in a zipper (i want to lock to zippers together)??
yes/no,"Does UA have a ""size chart"" that you can show and/or link on the web page?"
yes/no,The link you have to the sizing chart just takes me to your site and there is no sizing chart available there either. Can you repost the sizing chart?
yes/no,Would this costume fit a 6 year old average built boy?
open-ended,Can anybody give me the real bust measure for a XXL or a XL ? Thanks in advance
open-ended,"Not sure on sizing. I am 5'11"" and 170 lbs. Normally a large,but need to have 2-3 layers (thermos, fleece, down jacket) for a Kili trip. L or XL?"
open-ended,Size chart
open-ended,I actually need an xtra large waist and a tall length. Is that what a Two Large Tall or Three Large Tall means?
open-ended,"How water-resistant are these? Not trying take them sailing, but would like to be able to go out in the rain and get the mail."
open-ended,how does the compression work on lower back?
open-ended,"Looking at the Darn Tough Womens Micro Crew -- do these seem any less tight at the top than other Darn Tough styles (or Smartwool, for that matter)?"
open-ended,what size is this one?
open-ended,How many countdown timers on this watch?
open-ended,Long sleeves or 3/4 sleeves?
open-ended,"My 21 month is a long skinny boy - 34 in and 22 lbs. I am tempted to get him a medium, but I want to put a disposable under - should I go up a size?"
open-ended,"what size would recommend for someone who is 5""1 ?"
open-ended,"Guess is too small to fit a laptop 16.5 "" long? Suggestions, I guess large size?"
open-ended,"If C/D is supposed to be ""medium"" then what is size is B(M)?"
open-ended,Are the insides of the pockets mesh or fabric?
open-ended,"How's the durability and will it hold TKD gear (chest protector, helmet, etc.)?"
open-ended,can you make individual calls with the watch or you need to call through bluetooth and another phone
open-ended,"I want to order a medium, there's no size option on this item. Please message me back soon."
open-ended,Is the ultramarine a royal blue or darker?
open-ended,Is the shirt tail length short or long?
open-ended,I wear a size 13 what size should I get
open-ended,"What is the best size for 33 inch waist and 5'7"" height?"
open-ended,"I need a women's 10-what size is that please? Does the ""M"" stand for men as well?"
open-ended,What waist and length size are the xxl size I wanna make sure they fit
open-ended,how are they sized?
open-ended,where is size chart
open-ended,What is the best way to clean the foam bed (part direct contact with bottom of feet)?
open-ended,What size would work for someone who wears 18w? I don't see a sizing chart.
open-ended,Does anyone know if this product works with costume jewelry (fake silver) as well?
open-ended,How long is this skirt for a size 10? size 12? Thanks
open-ended,How long are they? Are they long enough for high top hiking boots? (6-7 pairs of eyelets)
open-ended,5ft9 168lb what size should I get
open-ended,What waist and length size are the xxl size I wanna make sure they fit
open-ended,how many pairs of Under Armour Cotton Low-Cut Socks are included in an order?
open-ended,shoe size vs sock size
open-ended,What size do you order? I wear an 11 shoe.
open-ended,what do the chinese characters on the charm say?
open-ended,how do you measure to get the correct shirt size?
open-ended,46 is the largest size available. I wear a 12.5 to 13 US. Anyone know the conversion of a 46 to US size?
open-ended,how big of a waste band does it have?
open-ended,"I got this to make LIPSOMAL VITAMIN C. The first 3 times the liquid got hot. After that, the liquid is not heating up! Is the unit working or not?"
open-ended,"my son is 5 years old, and 45 pounds and 47 inches tall, what size does fit him?"
open-ended,"My child is 13 and I'm not sure if he should be in the 'youth' sizes or a small men's. He is 5'1"" and weighs 98 lbs. Any info would be appreciated."
open-ended,This will get me through the winter? It's like a rotisseries bag! TIA!
open-ended,What is the height of these boots?
open-ended,How long are the sleeves? My husband actually prefers the 3/4 length.
open-ended,Is this thermal or fleece? Or is it thinner?
open-ended,"I wear a size 8 in a skirt. What size would I wear in this skirt? I am 5'6"""" 140lbs. What are the measurements of the skirt?"
open-ended,"Are these shirts ""loose"" or ""fitted""? Thank you."
open-ended,My shoe size tends to run to the narrow side how do the shoes run on width?
yes/no,will this work with my GL-300
yes/no,"If my router is upstairs and Xbox One is downstairs, could I plug one into router, and then Xbox One into the other downstairs?"
yes/no,does this computer come with camera build in?
yes/no,Will this let my pc connect to a wireless printer ?
yes/no,will this work for a 2002 ford f150
yes/no,does the tripod adapter come with the nikon 8248 aculon a211 10x50 binoculars?
yes/no,will this work with sky channels
yes/no,Can i use it on a tv 55 inch?
yes/no,Is this the pet friendly sensor?
yes/no,Im curious about what motherboard to use because this is my firs time building a computer. can I get any recommendations about what motherboard to use
yes/no,Is the shipping weight real? 12 pounds
yes/no,does this work with the samsung galaxy note 10.0?
yes/no,How do the speakers with this system compare with the mondo system and the encore system. Are they equal to the out put of Grace Book Shelf Speakers?
yes/no,will it work for canon pixma mx922 ?
yes/no,Can it swivel and lay flat like a tablet?
yes/no,Do these come with quick disconnects with wire leads?
yes/no,Does it produce a hum over the speakers when there is no input? I have a SANOXY one that I bough that does that and it is very annoying.
yes/no,Does it come with the ipod cable?
yes/no,Will original iPad work with this system?
yes/no,Does this camera have night vision like IR
yes/no,Are they water proof?
yes/no,Is this compatible with the GoPro Hero 3+?
yes/no,Would this case fit an ASUS GTX 770 card?
yes/no,Will my Nook HD+ fit in this case?
yes/no,Does this suit DM4-3055dx ??
yes/no,"are there mounting holes? cant see in the photos, want to attach to my seat in wrx hatch"
yes/no,"Does the audio switch with the input? For example, HDMI video/audio from one source and VGA video/analog audio from another."
yes/no,will these fit a 05nissan altima?
yes/no,WILL IT WORK WITH A KINDLE FIRE?
yes/no,will this product work as a dac/amp for my Galaxy Note 2?
yes/no,can i signal it to send an sms from the remote control itself
yes/no,Will it fit and work on an OLY EP/2?
yes/no,"is the pipe running down the middle an LED light, if so what color?"
yes/no,would this product be good at the gun range
yes/no,DOES THIS WORK WITH CANON EOS60D
yes/no,does this have bluetooh?
yes/no,Is there anyway to test to ensure the moCA signal is not leaking out?
yes/no,Does this really have the CD/DVD drive built in?
yes/no,"Please confirm that both of the ""Skullcandy (Product Out Of Date, Newer Version Available) SC-SBB3.5 Smokin' Earbud Black"" have volume control before I order. Thank you."
yes/no,Does it work with windows 7? Web site only shows up to Vista.
yes/no,is it Bluetooth
yes/no,Will it work on an HP 8100 Desktop?
yes/no,Is it compatible with canon 70d?
yes/no,I have a Nikon D3300 with a 52mm macro lens...can I use it with this 52 mm lens.
yes/no,do you have to renew every year?
yes/no,"Description says Silver, picture is black. Is it possible to get this in black?"
yes/no,can I buy an extra diffuser for the umbrella I got from you
yes/no,is it a good idea to buy a used battery for my Canon 60D?
yes/no,Do these sound better than the Skullcandy Lowriders?
yes/no,"Hello i recently buyed this product with you but the evga didn't star, i mean didn't power up my cpu. Can you help me?"
open-ended,what does the apple imac come with?
open-ended,Im using my phone to play sound on a samsone DJ speaker with this cable is that ok? My friend was saying i need a balanced one or i will damage it
open-ended,"Is that 4.7GB for each of the CD, or total 4.7GB for 15CDS?"
open-ended,"Does it work with full frame cameras? Does its image cover full frame sensor, or 35mm film?"
open-ended,"Does anyone have a chest harness that will hold this camera? Does it have a 1/4"" tripod mount on the bottom of the camera?"
open-ended,How many decibals is it? How loud??
open-ended,WHATS THE CONTRAST RATIO OF THIS TV
open-ended,Is this camera compatible with computers running windows 8 or 8.1
open-ended,Is this a Gray Market Lens? Does it come with a USA Warranty?
open-ended,"The description says 2 GB of RAM but down below it says .512, which is correct?"
open-ended,Do you know if it will it work for the OMNI XLT 150?
open-ended,"Can this be easily used as a portable HDD? I'd like to use it to do backups from 3 different computers (XP,7,8). Would partitioning a 1T HD help?"
open-ended,I wear a ladies medium. What size should I order?
open-ended,"Seriously, what about the picture quality, indoors and out."
open-ended,"Does this device come with a strap? If not, is there a grommet or way to attach a strap?"
open-ended,it comes with Microsoft office trail?
open-ended,Can each speaker be used in different rooms or do they both need to be in one room?
open-ended,Does the wifi allow for web browsing or only for photo transfer?
open-ended,"Is the warranty issued by NIKON for the USA? If I take this camera to a Nikon-authorized center in the USA, will they honor this warranty?"
open-ended,LCD light leak defect: Is this normal?
open-ended,Anyone having problems with the battery?
open-ended,Will these fit side to side in a 4 port or 6 port faceplate?
open-ended,Anyone have a problem with getting the head to stay tightened on the tripod?
open-ended,Is the 330 or 340 better?
open-ended,How would this work for my 220v/3400W electric cooktop?
open-ended,Cannon FS200 Extremely Slow Import Speeds: Anybody have some thoughts on how to trouble shoot or speed up video file transfers off the camera to the computer?
open-ended,does this work for the ipad mini 2? is this a good quality case and bluetooth keyboard?
open-ended,will it work with a sony a55 or a65?
open-ended,How few pins should be the source of power? This card fits btx case?
open-ended,"Do you think I need to get this grip for D700? I am not shooting weedings/events etc,more thought of convenience of AA batteries for vacations?"
open-ended,What is the mount made of?
open-ended,I presume the DVD drive also works with CDs?
open-ended,"How can I get programing instruction on a xt-33 H50T21 key, the site is under construction"
open-ended,For compatibility reasons I want to purchase additional RAM that is an exact mach of what is already in the computer. What RAM do I need to purchase?
open-ended,"How is the Picture Quality, blue-ray quality?"
open-ended,"I see that it says ""power range: 2-35 watts rms"" but what's the peak output?"
open-ended,where are the batteries in the headset
open-ended,What is the depth of this product? Putting behind refrigerator and don't want fridge to stick out.
open-ended,What is the reciever ID # so I can check that it is OK by Direct TV
open-ended,All USB power strips on the market have lights which preclude them from bedside use; can this blue one be completely blocked by tape or nail polish?
open-ended,Does anyone know if you can use 2 headsets together from the same receiver?
open-ended,"To use this antenna, should I disable or remove anything? I have a laptop with Windows 8.1 on which I access the Internet in RV parks. Thank you."
open-ended,Are you able to take pictures with the case on the camera? Can you use it for the SX50? Thanks
open-ended,"What is the format of this drive? Looking for an older FAT file structure to read in vehicle, FAT32 will not work."
open-ended,is this a computer or tablet? Is the battery replaceable ? i have 3 kindels and you cannot replace the battery. I want flash player.
open-ended,How much do they weigh? Some reviewers are complaining about the weight of these headphones.
open-ended,will this work on my gopro hero3+ black or levet 1 physical interkace
open-ended,Is the DVI cable a DVI-D or a DVI-I?
open-ended,"If It supports Steering wheel control, buy only with canbus, which is not included, where can I get what is needed to connect to canbus?"
open-ended,I am trying to buy it and take it with me out of usa.how heavy is it and can it fite in my suitcase.
yes/no,Do you have a nutritional label for this?
yes/no,The first batch I received was great; however the second seems to have a different paper and could not be punctured; Has this issue been resolved?
yes/no,"Would appreciate a complete nutritional label, including calories."
yes/no,"The item says, 16 ounce bottle pack of 4. Does this mean 4 full 16 ounce bottles will be shipped."
yes/no,Is this cacao powder processed with alkali? I read that if it has been processed with alkali the heart healthy flavanols have been destroyed.
yes/no,Is date syrup the same as date honey
yes/no,Does this need to be refrigerated?
yes/no,Are these Gluten &amp; Wheat Free?
yes/no,"For kiddos that started off with regular Gerber Goodstart Gentle, is the transition to this toddler version fairly seamless ?"
yes/no,Are these the e.s.e. pods that will fit in a handpresso? Thanks
yes/no,Do you have to store the sprouted flour any special way?
yes/no,Can someone give a description of how they used these to make scrabbled eggs? I'm not a great cook and I've tried twice now and they stayed liquid
yes/no,Is it any easier to get product in a timely fashion through Amazon than through direct order?
yes/no,Are these sulphured ?
yes/no,Is this product dairy-free
yes/no,Can you give me an idea how much syrup this would make if reconstituted?
yes/no,Is this enteric coated?
yes/no,"I wanted to make sure that this is Soy Free too, is it?"
yes/no,Does this tea contain any kinds of nuts? I am highly allergic.
yes/no,Will these be returning to Prime?
yes/no,does it require refrigeration
yes/no,Is there an expiration date stamped on the package? In the pic I see a code but not a date.
yes/no,"I want to buy this to use as party favors for an event on 5/16. I'll need 30 little bags. Is one 5 lb enough, and when shoud I order for freshness?"
yes/no,"Brussels has this tree in its catalog, with guarantee, but at a higher price. Anyone gotten theirs direct from Amazon &amp; did it survive the wherehouse?"
yes/no,Does this product contain M.S.G. (monosodium glutamate) and/or can I find a list of ingredients?
yes/no,Does it have any preservatives ?
yes/no,"Try NOW Organic Barley Grass Juice Powder. Utah grown, so they say. Has anyone tried this one?"
yes/no,Is this flour milled about as fine as wheat flour?
yes/no,Is a full ingredient list available?
yes/no,Is Coombs maple syrup formaldehyde free?
yes/no,is this flour bleached?
yes/no,can i infuse this with oil to use as a herbal remedy?
yes/no,Does this work on fading Scars?
yes/no,Are these crackers vegan friendly
yes/no,Is it in a BPA-free container?
yes/no,is this product water decaffeinated?
yes/no,Can it be put on a cup in microwave?
yes/no,Are 90 sachets the total in this 3 pack..??
yes/no,"Is this Gluten Free? Some of these are made with wheat, others with only rice. Sometimes they have images on the back label for this."
yes/no,Is this made from 6 row barley
yes/no,Can I feed this to my four month old? It says toddler formula on the top.
yes/no,"I noticed that this is only QAI Organic, and not USDA Organic, does it really make a difference?"
yes/no,"Hi, I just ordered the Soursop leaves tea. Are these Guyabano leaves from the state of Hawaii?"
yes/no,Is there anything on the packaging about Stok being gluten free? I have to follow a strict gluten free diet but can't find out much info about this.
yes/no,Does this product contain any carbs? Thank you...
yes/no,Is this 100% pure Ceylon?
yes/no,This is a silly question. As an adult I have problems chewing. Does this item have enough good stuff in it for adults to enjoy a snack???
yes/no,Should there be a straw attachment to reach the bottom of bottle
yes/no,"Is this cetrified NON-GMO? I know Tree of Life usually has non-GMO labelling, and with a product like this, such a label is pertinent."
yes/no,do they contain sulfids
open-ended,How may bean pods are there in 1/2 pound?
open-ended,this product was $12.54 for 3 boxes the last time i bought it from amazon a couple of months ago and now it doubled???? frustrating
open-ended,do they ship well packaged or do they arrive broken? I live in Barbados west indies
open-ended,what is use by date on crackers that I would be ordering now?
open-ended,how much sugar is in it
open-ended,What is the expiration of this last case?
open-ended,Reviews mentions stickers...Are they Black Label Society stickers or Death Wish Coffee stickers? Just wondering since I don't see them anywhere.
open-ended,anyone use this to make white chocolate? white chocolate chips? how was it?
open-ended,Which Keurig does this fit?
open-ended,it it kosher?
open-ended,"what i s this ""eight o'clock coffee? is it columbian, african, indonesian - what?"
open-ended,Whats the percentage of MCTs in this brand of coconut oil?
open-ended,what are the ingredients?
open-ended,I want to use this for oil pulling...anyone had any success with this brand for that purpose?
open-ended,"Does this flour have any almond taste/aroma? I want to make pastry dough in hopes the result will be infused with almond, then experiment...?"
open-ended,"other matcha products use fillers, which throws off the actual amount of matcha per serving. what is your serving size info and details"
open-ended,How many teabags are included?
open-ended,Is the container glass or plastic? From the picture it appears glass.
open-ended,Gluten-free? dairy-free (including equipment used for its processing)?
open-ended,how many servings per cnatiner?
open-ended,how much water do you use and do you use hot or cold water
open-ended,How far ahead is the expiration date on orders that are placed?
open-ended,I love Pumpkin spice coffee but k cups I found only GM &amp; it's an extra light roast. Can anyone tell me if this is stronger coffee and flavor than GM?
open-ended,"I would like the nutritional breakdown, calories, sodium, carbs, fat?"
open-ended,"What is the expiration date, please?"
open-ended,how many net carbs?
open-ended,What reasons would I want to purchase this rather than Organic Ghee and Organic Coconut Butter? Isn't this just a mix of the two?
open-ended,"I've had 2 fish die in this tank, after following all the directions and cleaning everything between cycles. Any advice?"
open-ended,what is the country of origin on these seeds?
open-ended,It says the price is $15.99 for 15 oz Package. ($8.00 per item) So is this listing for #2 15 oz Packages? Or $15.99 per 1 15 oz package?
open-ended,my triglycerides were higher after drinking zija for 3mos Why?
open-ended,what is the shelf life of both versions?
open-ended,Where do you get a stand for this machine?
open-ended,What are some thoughts on the ginger snap? And the carrot cake?
open-ended,what is the yield on a 2.2 # bag od rice-how many servings?
open-ended,what is the fiber content?
open-ended,"Why do you have the number 3.25 when in the back of the bag it says ""serving size is 1 oz"" ?"
open-ended,is it MCT Standardized to 60% or 95%
open-ended,What is the shelf life of this? Does it have to stay in the refrigerator or can it be set out?
open-ended,is this a brick or shressed
open-ended,what is the can made of? stainless steel or aluminum?
open-ended,"How are these items packed and kept cold, specifically?"
open-ended,"Calories? Yes, it looks good, and is dairy-free, but how many calories does it provide?"
open-ended,how many lollipops come per order. I see different responses as to what people got in their orders.
open-ended,what are the ingredients in the crackers?
open-ended,How long does it take for the gummies to expire?
open-ended,What are the ingredients listed?
open-ended,What is the size/weight of the goods in the gift box?
open-ended,What size are the leaves? Could I use a silicone tea infuser or should I stick with stainless steel mesh?
open-ended,How many suckers are in a box
yes/no,There are a LOT of negative reviews saying that you don't get what's in the picture. Is that true?
yes/no,Can I use this on my sharpening block?
yes/no,Can you lift weights with this on?
yes/no,"does it have nova scotia dulse, barley grass, beet in addition to the wheat grass and spirulina?"
yes/no,Does this use an electrical current to give a closer estimate to actual bodyfat %?
yes/no,Will the brush heads from my regular Arm &amp; Hammer SpinBrush Pro Whitening fit this and what are the bristles like? (Soft/Medium/etc) Thank you!
yes/no,Is it possible to get expiration date at least in 2016? Even 2016 is not enough...
